3,-20,0.0278,0,5.11
3,-19.9,0.0275,0,5.11
3,-19.8,0.0272,0,5.11
3,-19.7,0.0269,0,5.11
3,-19.6,0.0266,0,5.11
3,-19.5,0.0263,0,5.12
3,-19.4,0.026,0,5.12
3,-19.3,0.0257,0,5.12
3,-19.2,0.0254,0,5.12
3,-19.1,0.0251,0,5.12
3,-19,0.0249,0,5.12
3,-18.9,0.0246,0,5.13
3,-18.8,0.0243,0,5.13
3,-18.7,0.024,0,5.13
3,-18.6,0.0237,0,5.13
3,-18.5,0.0234,0,5.13
3,-18.4,0.0231,0,5.13
3,-18.3,0.0229,0,5.14
3,-18.2,0.0226,0,5.14
3,-18.1,0.0223,0,5.14
3,-18,0.022,0,5.14
3,-17.9,0.0218,0,5.14
3,-17.8,0.0215,0,5.14
3,-17.7,0.0212,0,5.14
3,-17.6,0.021,0,5.15
3,-17.5,0.0207,0,5.15
3,-17.4,0.0204,0,5.15
3,-17.3,0.0202,0,5.15
3,-17.2,0.0199,0,5.15
3,-17.1,0.0197,0,5.15
3,-17,0.0194,0,5.15
3,-16.9,0.0192,0,5.15
3,-16.8,0.0189,0,5.16
3,-16.7,0.0187,0,5.16
3,-16.6,0.0184,0,5.16
3,-16.5,0.0182,0,5.16
3,-16.4,0.0179,0,5.16
3,-16.3,0.0177,0,5.16
3,-16.2,0.0174,0,5.16
3,-16.1,0.0172,0,5.16
3,-16,0.017,0,5.17
3,-15.9,0.0167,0,5.17
3,-15.8,0.0165,0,5.17
3,-15.7,0.0162,0,5.17
3,-15.6,0.016,0,5.17
3,-15.5,0.0158,0,5.17
3,-15.4,0.0156,0,5.17
3,-15.3,0.0153,0,5.17
3,-15.2,0.0151,0,5.17
3,-15.1,0.0149,0,5.17
3,-15,0.0147,0,5.18
3,-14.9,0.0145,0,5.18
3,-14.8,0.0142,0,5.18
3,-14.7,0.014,0,5.18
3,-14.6,0.0138,0,5.18
3,-14.5,0.0136,0,5.18
3,-14.4,0.0134,0,5.18
3,-14.3,0.0132,0,5.18
3,-14.2,0.013,0,5.18
3,-14.1,0.0128,0,5.18
3,-14,0.0126,0,5.18
3,-13.9,0.0124,0,5.19
3,-13.8,0.0122,0,5.19
3,-13.7,0.012,0,5.19
3,-13.6,0.0118,0,5.19
3,-13.5,0.0116,0,5.19
3,-13.4,0.0114,0,5.19
3,-13.3,0.0112,0,5.19
3,-13.2,0.0111,0,5.19
3,-13.1,0.0109,0,5.19
3,-13,0.0107,0,5.19
3,-12.9,0.0105,0,5.19
3,-12.8,0.0103,0,5.19
3,-12.7,0.0102,0,5.19
3,-12.6,0.00998,0,5.2
3,-12.5,0.00981,0,5.2
3,-12.4,0.00964,0,5.2
3,-12.3,0.00947,0,5.2
3,-12.2,0.0093,0,5.2
3,-12.1,0.00914,0,5.2
3,-12,0.00898,0,5.2
3,-11.9,0.00882,0,5.2
3,-11.8,0.00866,0,5.2
3,-11.7,0.0085,0,5.2
3,-11.6,0.00834,0,5.2
3,-11.5,0.00819,0,5.2
3,-11.4,0.00804,0,5.2
3,-11.3,0.00789,0,5.2
3,-11.2,0.00774,0,5.2
3,-11.1,0.0076,0,5.2
3,-11,0.00745,0,5.2
3,-10.9,0.00731,0,5.2
3,-10.8,0.00717,0,5.21
3,-10.7,0.00703,0,5.21
3,-10.6,0.00689,0,5.21
3,-10.5,0.00676,0,5.21
3,-10.4,0.00662,0,5.21
3,-10.3,0.00649,0,5.21
3,-10.2,0.00636,0,5.21
3,-10.1,0.00623,0,5.21
3,-10,0.00611,0,5.21
3,-9.9,0.00598,0,5.21
3,-9.8,0.00586,0,5.21
3,-9.7,0.00574,0,5.21
3,-9.6,0.00562,0,5.21
3,-9.5,0.0055,0,5.21
3,-9.4,0.00538,0,5.21
3,-9.3,0.00527,0,5.21
3,-9.2,0.00516,0,5.21
3,-9.1,0.00504,0,5.21
3,-9,0.00493,0,5.21
3,-8.9,0.00483,0,5.21
3,-8.8,0.00472,0,5.21
3,-8.7,0.00462,0,5.21
3,-8.6,0.00451,0,5.21
3,-8.5,0.00441,0,5.21
3,-8.4,0.00431,0,5.21
3,-8.3,0.00421,0,5.21
3,-8.2,0.00412,0,5.21
3,-8.1,0.00402,0,5.21
3,-8,0.00393,0,5.21
3,-7.9,0.00383,0,5.22
3,-7.8,0.00374,0,5.22
3,-7.7,0.00365,0,5.22
3,-7.6,0.00357,0,5.22
3,-7.5,0.00348,0,5.22
3,-7.4,0.00339,0,5.22
3,-7.3,0.00331,0,5.22
3,-7.2,0.00323,0,5.22
3,-7.1,0.00315,0,5.22
3,-7,0.00307,0,5.22
3,-6.9,0.00299,0,5.22
3,-6.8,0.00291,0,5.22
3,-6.7,0.00284,0,5.22
3,-6.6,0.00276,0,5.22
3,-6.5,0.00269,0,5.22
3,-6.4,0.00262,0,5.22
3,-6.3,0.00255,0,5.22
3,-6.2,0.00248,0,5.22
3,-6.1,0.00241,0,5.22
3,-6,0.00235,0,5.22
3,-5.9,0.00228,0,5.22
3,-5.8,0.00222,0,5.22
3,-5.7,0.00215,0,5.22
3,-5.6,0.00209,0,5.22
3,-5.5,0.00203,0,5.22
3,-5.4,0.00197,0,5.22
3,-5.3,0.00191,0,5.22
3,-5.2,0.00186,0,5.22
3,-5.1,0.0018,0,5.22
3,-5,0.00175,0,5.22
3,-4.9,0.00169,0,5.22
3,-4.8,0.00164,0,5.22
3,-4.7,0.00159,0,5.22
3,-4.6,0.00154,0,5.22
3,-4.5,0.00149,0,5.22
3,-4.4,0.00144,0,5.22
